"1","31","Faz sons que mostram para você que ele ou ela está feliz ou chateado","0","2","843","57"
"2","32","Parece feliz em ver você","2","2","843","57"
"3","33","Segue com os olhos o movimento de um brinquedo","2","2","843","57"
"4","34","Vira a cabeça para achar a pessoa que está falando","2","2","843","57"
"5","35","Mantém a cabeça firme quando puxado para sentar","1","2","843","57"
"6","36","Junta as mãos","0","2","843","57"
"7","37","Ri","0","2","843","57"
"8","38","Mantém a cabeça firme quando você o/a segura na posição sentada","0","2","843","57"
"9","39","Faz sons como ""ga"", ""ma"" ou ""ba""","2","2","843","57"
"10","40","Olha quando você o/a chama pelo nome","0","2","843","57"
"11","41","Sua criança fica incomodada com novas pessoas?","1","2","843","57"
"12","42","Sua criança fica incomodada em lugares novos?","2","2","843","57"
"13","43","É difícil para sua criança lidar com mudanças na rotina?","0","2","843","57"
"14","44","Sua criança fica incomodada de ser carregada por outras pessoas?","0","2","843","57"
"15","45","Sua criança chora muito?","0","2","843","57"
"16","46","É difícil para sua criança se acalmar sozinha?","2","2","843","57"
"17","47","Sua criança fica irritada facilmente?","0","2","843","57"
"18","48","Sua criança continua chorando, mesmo quando você a pega no colo e tenta acalmá-la?","2","2","843","57"
"19","49","É difícil manter sua criança nas rotinas do dia a dia?","1","2","843","57"
"20","50","Sua criança tem dificuldades para pegar no sono?","1","2","843","57"
"21","51","É difícil para você dormir o suficiente por causa da sua criança?","0","2","843","57"
"22","52","Sua criança tem dificuldades para manter o sono?","0","2","843","57"
"23","53","Você tem alguma preocupação com o aprendizado ou com o desenvolvimento dela?","0","2","843","57"
"24","54","Você tem alguma preocupação com o comportamento de sua criança?","0","2","843","57"
"25","55","Alguem que mora com sua criança fuma cigarro?","2","2","843","57"
"26","56","No último ano, alguma vez você consumiu mais álcool ou drogas do que pretendia?","0","2","843","57"
"27","57","No último ano, você sentiu vontade ou necessidade de diminuir o seu consumo de álcool ou drogas?","2","2","843","57"
"28","58","Alguma vez, o uso de álcool ou drogas por algum membro da família trouxe consequências negativas para sua criança?","2","2","843","57"
"29","59","Nos ultimos 12 meses, ficamos preocupados se nossa comida poderia  acabarantes que pudessemos comprar mais.","0","2","843","57"
"30","60","Em geral, como você descreveria seu relacionamento com seu/sua marido/companheiro(a)?","2","2","843","57"
"31","61","Você e seu/sua marido/companheiro(a) resolvem seus desentendimentos","0","2","843","57"
"32","62","Na última semana, quantos dias você ou outro membro da familialeu para sua criança?","6","2","843","57"
"33","63","Tenho sido capaz d  e me rir e ver o lado divertido das coisas","2","2","843","57"
"34","64","Tenho tido esperança no futuro","0","2","843","57"
"35","65","Tenho-me culpado sem necessidade quando as coisas correm mal","1","2","843","57"
"36","66","Tenho estado ansiosa ou preocupada sem motivo","2","2","843","57"
"37","67","Tenho-me sentido com medo, ou muito assustada, sem grande motivo","1","2","843","57"
"38","68","Tenho sentido que são coisas demais para mim","1","2","843","57"
"39","69","Tenho-me sentido tão infeliz que durmo mal","2","2","843","57"
"40","70","Tenho-me sentido triste ou muito infeliz","1","2","843","57"
"41","71","Tenho-me sentido tão infeliz que choro","1","2","843","57"
"42","72","Tive ideias de fazer mal a mim mesma","2","2","843","57"
"43","31","Faz sons que mostram para você que ele ou ela está feliz ou chateado","1","2","579","57"
"44","32","Parece feliz em ver você","1","2","579","57"
